,Author,summaries
82,Larry Heck,"Larry Heck's research contributions span multiple areas, including Acoustic Modeling, Natural Language Processing, and Artificial Intelligence. His work focuses on developing algorithms and models for speech recognition, spoken language understanding, and conversational AI. Heck's research emphasizes the importance of contextual understanding, attention mechanisms, and deep learning techniques in improving the performance of these systems.

Notable publications include his work on deep structured semantic models for web search using click-through data, contextual LSTM models for large-scale NLP tasks, and eye gaze for spoken language understanding in multi-modal conversational interactions. His research also explores the application of deep learning and knowledge graphs for entity disambiguation, and the use of query click logs for utterance domain detection in spoken language understanding. Heck's contributions have had a significant impact on the field of speech recognition, natural language processing, and conversational AI, and his work continues to influence research in these areas."
83,Ling Liu,"Ling Liu is a prominent researcher in the field of computer science, with a wide range of research interests spanning various areas, including 5G mobile communication networks, artificial intelligence, augmented reality, blockchain, cloud computing, cybersecurity, data privacy, and machine learning. Her work has focused on developing novel algorithms and frameworks for ensuring data privacy, security, and trust in decentralized systems, including peer-to-peer networks, blockchain, and cloud computing.

Some of her notable contributions include developing personalized anonymization models for location privacy, designing secure location privatization systems, and proposing novel approaches for protecting location privacy in mobile systems. Her work on federated learning with local differential privacy has also made significant contributions to the field of machine learning. Additionally, she has explored the application of blockchain technology in healthcare and developed novel frameworks for trusted social information management. Her research has been published in numerous top-tier conferences and journals, including IEEE Transactions on Knowledge and Data Engineering, IEEE Transactions on Parallel and Distributed Systems, and ACM Transactions on Internet Technology."
84,Lu Mi,"Lu Mi's research contributions span multiple areas, including 3D Reconstruction, Autonomous driving, Biomedical Imaging, Biophysics, Computer Vision, Deep Learning, and Connectomics. Their work focuses on developing novel methods for image processing, neural networks, and graph generation, with applications in fields such as brain mapping, cell manipulation, and electron microscopy.

Notable publications include Hdmapgen, a hierarchical graph generative model for high-definition maps, and im2nerf, a method for converting images to neural radiance fields. Other significant contributions include the development of energy-based concept bottleneck models, which unify prediction, concept intervention, and conditional interpretations, and the creation of LatticeGen, a framework for hiding generated text in a lattice for privacy-aware generation on cloud. Lu Mi's research has also explored topics such as uncertainty estimation, representation learning, and neural dynamics, with a focus on developing scalable and efficient algorithms for complex tasks. Their work has the potential to impact various fields, including computer vision, biomedical imaging, and neuroscience."
85,Lynn Dombrowski,"Lynn Dombrowski's research contributions span a wide range of topics, including Human-Computer Interaction (HCI), Social Justice, and Community Technology. Her work focuses on designing technologies that promote social justice, accessibility, and sustainability. Key areas of interest include accessible technology, algorithmic bias, artificial intelligence, autism research, community development, data science, digital labor advocacy, e-government, environmental sustainability, food systems, HCI, human rights, and social computing.

Dombrowski's research has explored various themes, such as the impact of technology on social justice, the design of accessible and inclusive technologies, and the role of technology in promoting sustainability and social change. Her work has been published in numerous papers, including ""Social justice-oriented interaction design: Outlining key design strategies and commitments,"" ""Will I always be not social?"" Re-Conceptualizing Sociality in the Context of a Minecraft Community for Autism,"" and ""Worker-centered design: Expanding HCI methods for supporting labor."" Her research has also examined the intersection of technology and social issues, such as wage theft, substance use disorders, and domestic abuse. Overall, Dombrowski's work aims to promote social justice, accessibility, and sustainability through the design of technologies that support marginalized communities and address systemic social issues."
86,Marilyn Wolf,"Marilyn Wolf is a renowned researcher in the field of computer engineering, with a focus on embedded systems, computer architecture, and hardware-software co-design. Her research contributions have had a significant impact on the development of modern embedded systems, including multiprocessor systems-on-chip (MPSoCs), cyber-physical systems, and Internet-of-Things (IoT) systems. Wolf's work has explored various aspects of embedded systems design, including task scheduling, code compression, and power consumption.

Some of her notable research areas include hardware-software co-design, multiprocessor systems-on-chip (MPSoCs), and cyber-physical systems. Her work has led to the development of several influential tools and methodologies, such as the Task Graphs for Free (TGFF) tool and the MediaBench II video benchmark. Wolf's research has also explored the application of machine learning and artificial intelligence in embedded systems, including the use of hidden Markov models for content-based multimedia indexing. Her contributions have been recognized through numerous publications, including the book ""Computers as Components: Principles of Embedded Computing System Design"" and the paper ""A Decade of Hardware/Software Codesign."""
87,Mark Borodovsky,"Mark Borodovsky is a prominent researcher in the field of bioinformatics, with a focus on algorithm optimization, gene prediction, and genome annotation. His research contributions have significantly impacted the field of computational biology, particularly in the areas of gene finding, gene prediction, and genome annotation. 

Borodovsky's notable publications include the development of the GeneMark suite, a set of algorithms for gene prediction in prokaryotic and eukaryotic genomes. His work on GeneMark has led to the creation of various tools, such as GeneMarkS, GeneMark.hmm, and GeneMark-EP+, which have been widely used in the bioinformatics community. Additionally, his research has explored the application of machine learning and probabilistic methods for gene identification, including the use of hidden Markov models (HMMs) and Markov chain models. His work has also focused on the annotation of genomes from various organisms, including bacteria, archaea, and eukaryotes, and has contributed to our understanding of gene regulation, evolution, and adaptation."
88,Mark Riedl,"Mark Riedl is a prominent researcher in the field of Artificial Intelligence (AI), with a focus on AI background influence, AI interpretability, AI decision-making, accountability, and algorithmic opacity. His research contributions span various areas, including AI, cognitive science, computer science, human-computer interaction, and narrative intelligence. 

Riedl's notable publications have explored topics such as human-centered AI, explainable AI, and narrative generation. His work has emphasized the importance of transparency, accountability, and authorial intent in AI systems. He has also investigated the use of crowdsourcing, machine learning, and deep neural networks in generating narratives and interactive stories. Riedl's research has been influential in shaping the field of human-centered AI and narrative intelligence, with applications in areas such as game development, education, and entertainment. His work has also highlighted the need for more transparent and accountable AI systems that can be trusted by humans."
89,Matthew Gombolay,"Matthew Gombolay is a researcher with a broad range of interests in Artificial Intelligence, Human-Robot Interaction, and Autonomous Systems. His key research areas include Accountability in AI, Active Learning, Active Sensing, Apprenticeship Learning, and Explainable AI. He has made significant contributions to the field of Human-Robot Teaming, focusing on the development of computational design methods that consider human factors such as situational awareness, workload, and workflow preferences.

Gombolay's notable publications include research on the optimization of interpretable decision trees in reinforcement learning, the development of graph-attention communication and teaming methods, and the use of explainable AI in human-machine teaming. His work has also explored the effects of anthropomorphism and accountability on trust in human-robot interaction, and the importance of considering human domain knowledge in reinforcement learning. Gombolay's research has the potential to impact various fields, including healthcare, robotics, and autonomous systems, by improving the efficiency, safety, and trustworthiness of human-robot teams."
90,Melody Moore Jackson,"Melody Moore Jackson's research contributions span multiple areas, including Accessibility, Animal-Computer Interaction, Artificial Intelligence, Assistive Technologies, and Human-Computer Interaction. Her work focuses on developing innovative solutions to improve the lives of individuals with disabilities and animals, particularly working dogs. 

Some of her notable research areas include designing wearable and mobile interfaces for working dogs, developing brain-computer interfaces (BCIs) for individuals with motor disabilities, and creating assistive technologies for individuals with severe motor disabilities. Her research also explores the use of machine learning and predictive modeling to improve the suitability of service animals and predict the control of BCIs. Additionally, she has worked on projects such as wearable activity and gait detection monitors for sled dogs, wearable alert systems for mobility-assistance service dogs, and wearable sensors for canine nosework sniffing interaction. Her research has the potential to positively impact the lives of individuals with disabilities and working dogs, and her work has been recognized through numerous publications and presentations."
91,Michael A. Specter,"Michael A. Specter's research contributions span a wide range of areas in computer security and artificial intelligence. His work focuses on developing secure systems, protocols, and algorithms to protect against various threats, including authentication, bias detection, and cybersecurity vulnerabilities. He has also explored the intersection of technology and society, examining the impact of blockchain, artificial intelligence, and machine learning on election security, data privacy, and online voting systems.

Specter's notable publications include ""Explaining Explanations: An Overview of Interpretability of Machine Learning,"" which delves into the interpretability of machine learning models, and ""You Really Shouldn't Roll Your Own Crypto: An Empirical Study of Vulnerabilities in Cryptographic Libraries,"" which highlights the importance of using established cryptographic libraries to prevent vulnerabilities. His work on the PACT protocol, a secure contact tracing protocol, has also been influential, with the publication of ""The PACT protocol specification"" and ""SonicPACT: An Ultrasonic Ranging Method for the Private Automated Contact Tracing (PACT) Protocol."" Overall, Specter's research has had a significant impact on the field of computer security and artificial intelligence, with a focus on developing secure and trustworthy systems that prioritize user privacy and security."
92,Michael F Good,"Michael F. Good is a renowned researcher in the field of immunology, with a focus on adaptive immunity, malaria, and vaccine development. His research contributions have significantly impacted our understanding of the immune response to malaria and the development of effective vaccines. Good's work has explored various aspects of malaria immunology, including the role of CD8+ T cells in protection against malaria, the importance of antigenic polymorphism in malaria vaccine design, and the mechanisms of immune evasion by malaria parasites.

Good's research has also investigated the development of novel vaccine strategies, including the use of synthetic immunogens, dendrimer nanoparticles, and multi-determinant vaccines. His work has demonstrated the potential of these approaches to induce protective immunity against malaria and other infectious diseases. Additionally, Good's research has highlighted the importance of understanding the immune response to malaria in different populations, including non-human primates and rodents, and the relevance of these models to human malaria. His contributions have been recognized through numerous publications in top-tier scientific journals, with over 800 citations in the field of malaria pathogenesis alone."
93,Milos Prvulovic,"Milos Prvulovic is a researcher with a broad range of interests in computer architecture, security, and systems. His work focuses on developing novel architectural designs, algorithms, and techniques to improve the performance, security, and reliability of computing systems. Some of his key research areas include:

1.  **Computer Architecture**: Prvulovic has made significant contributions to the design and optimization of computer architectures, including the development of novel checkpointing and rollback recovery techniques, as well as the design of secure processors that integrate encryption and authentication.
2.  **Security**: His work in computer security has focused on developing techniques to prevent attacks, such as side-channel attacks, and to detect anomalies in program execution. He has also explored the use of electromagnetic signals for security applications, including attestation and malware detection.
3.  **Systems**: Prvulovic has worked on various systems-related topics, including distributed shared memory multiprocessors, thread-level speculation, and memory management. His research has aimed to improve the performance, scalability, and reliability of these systems.

Some of his notable publications include the SESC simulator, ReVive, and SecureME, which have received significant attention in the research community. His work has been recognized for its impact on the field, with many of his papers receiving high citation counts. Overall, Prvulovic's research has made significant contributions to the advancement of computer architecture, security, and systems, and his work continues to influence the field."
94,Moinuddin Qureshi,"Moinuddin Qureshi is a prominent researcher in the field of computer architecture, with a focus on memory systems, cache design, and security. His research contributions have significantly impacted the development of high-performance and secure memory systems. Qureshi's work has explored various aspects of memory systems, including cache replacement policies, cache partitioning, and cache security. He has proposed several innovative solutions, such as the V-Way cache, CEASER, and ArchShield, which have demonstrated improved performance and security in memory systems.

Qureshi's research has also delved into the realm of quantum computing, where he has investigated variability-aware policies for NISQ-era quantum computers and proposed techniques for mitigating measurement errors. Additionally, his work has addressed security concerns in memory systems, including conflict-based cache attacks and model stealing attacks. Qureshi's contributions have been recognized through numerous publications in top-tier conferences and journals, with over 1835 citations. His research has had a significant impact on the field of computer architecture, and his work continues to influence the development of high-performance and secure memory systems."
95,Mostafa Ammar,"Mostafa Ammar is a renowned researcher in the field of computer networks, with a focus on distributed systems, network protocols, and performance optimization. His research contributions span a wide range of areas, including network architecture, routing, multicast, and quality of service. Ammar has made significant contributions to the development of novel network protocols, such as message ferrying and application-layer anycasting, which enable efficient data delivery in partitioned and mobile networks.

Ammar's research has also explored the use of multicast and anycasting for scalable and interactive video-on-demand services, as well as the design of efficient server selection techniques for replicated services. His work on network function virtualization (NFV) has led to the development of novel approaches for service function chain routing and virtual function network instance migration. Additionally, Ammar has investigated the use of edge computing and mobile device clouds to provide cloud services at the edge. His research has been published in numerous top-tier conferences and journals, and has had a significant impact on the field of computer networks."
96,Munmun De Choudhury,"Munmun De Choudhury is a researcher with a broad range of interests in the fields of Affective Computing, Artificial Intelligence, and Human-Computer Interaction. Her research focuses on developing computational methods to analyze and understand human behavior, particularly in the context of mental health, social media, and online communities. De Choudhury has made significant contributions to the field of mental health informatics, developing predictive models to identify individuals at risk of depression, suicidal ideation, and eating disorders based on their social media activity.

Her work has also explored the role of social media in mental health, including the impact of anonymity, social support, and online disclosures on mental health outcomes. De Choudhury has developed novel methods for analyzing social media data, including the use of machine learning and deep learning techniques to identify patterns and trends in mental health-related content. Her research has been published in top-tier conferences and journals, including the Association for the Advancement of Artificial Intelligence (AAAI), the International Joint Conference on Artificial Intelligence (IJCAI), and the Journal of Medical Internet Research (JMIR)."
97,Mustaque Ahamad,"Mustaque Ahamad is a renowned researcher in the field of computer science, with a focus on distributed systems, security, and consistency models. His research contributions have had a significant impact on the development of scalable and secure distributed systems. Ahamad's work has explored various aspects of distributed systems, including consistency models, replication, and fault tolerance. He has also made significant contributions to the field of security, particularly in the areas of access control, authentication, and authorization.

Ahamad's notable publications include ""Causal Memory: Definitions, Implementation, and Programming,"" which introduced a new consistency model for distributed shared memory, and ""The Grid Protocol: A High Performance Scheme for Maintaining Replicated Data,"" which proposed a high-performance scheme for maintaining replicated data in distributed systems. His work on ""Slow Memory: Weakening Consistency to Enhance Concurrency in Distributed Shared Memories"" demonstrated the trade-offs between consistency and concurrency in distributed systems. Ahamad has also made significant contributions to the field of security, including the development of secure protocols for distributed systems and the analysis of security threats in various domains, such as telephony and healthcare. His research has had a lasting impact on the development of scalable and secure distributed systems, and his work continues to influence the field of computer science."
98,Nabil Imam,"Nabil Imam's research contributions span a wide range of areas, including Active Vision, Artificial Intelligence, Asynchronous Circuits, Brain-Inspired Architecture, and Neuromorphic Computing. His work focuses on developing novel architectures and circuits that mimic the behavior of biological systems, with a particular emphasis on neuromorphic computing and artificial intelligence.

Imam's research has led to the development of several notable neuromorphic chips, including Loihi, Truenorth, and a digital neurosynaptic core using event-driven QDI circuits. These chips have demonstrated significant advancements in terms of speed, energy efficiency, and scalability, with applications in areas such as computer vision, robotics, and sensor data processing. His work has also explored the use of neuromorphic computing for tasks such as online learning, signal restoration, and navigation. Additionally, Imam has investigated the use of asynchronous circuits and majority gate logic for efficient and low-power computing. His research has the potential to impact a wide range of fields, from artificial intelligence and robotics to neuroscience and computer vision."
99,Nathan Hodas,"Nathan Hodas is a researcher with a broad range of interests in artificial intelligence, machine learning, and computational modeling. His work spans various domains, including chemistry, biology, physics, and social sciences. Key areas of focus include deep learning, neural networks, graph theory, and social network analysis. 

Hodas has made significant contributions to the field of computational chemistry, developing deep learning models that can predict chemical properties with minimal chemistry knowledge. His work on Chemception and Smiles2vec has demonstrated the potential of deep learning in this area. Additionally, he has explored the application of deep learning to other fields, such as social media analysis, disaster response, and cognitive science. His research has also delved into the development of new methods for few-shot learning, metric-based learning, and neural network interpretability."
100,Naveena Karusala,"Naveena Karusala's research contributions span multiple areas, including Accessibility, Algorithmic Decision Making, Artificial Intelligence, Aspirations-Based Design, Autism Awareness, and Human-Computer Interaction (HCI). Her work focuses on creating inclusive and equitable technologies that address the needs of underserved communities, particularly in the Global South. 

Some of her notable research areas include designing for intersections, aspirations-based design, care as a resource in underserved learning environments, and mental health in the Global South. Her work also explores the impact of technology on women's safety, wellbeing, and health, as well as the role of HCI in addressing systemic injustices and promoting global solidarity. Karusala's research emphasizes the importance of intersectionality, decoloniality, and feminist solidarity in shaping the future of HCI and technology development. Her contributions have been recognized through various publications, including papers on citational justice, HCI across borders, and the future of care work."
101,Neha Kumar,"Neha Kumar is a researcher with a diverse range of interests and expertise in the fields of Human-Computer Interaction (HCI), Computer-Supported Cooperative Work (CSCW), and Community Health Informatics. Her research focuses on the intersection of technology and social issues, particularly in the context of global development, health, and social justice. Key areas of her research include accessibility, affordability, and algorithmic bias, as well as the design of technologies that promote community health, empowerment, and social equity.

Kumar's notable publications demonstrate her commitment to understanding the complexities of technology use in diverse contexts, including rural India, urban India, and Cuba. Her work highlights the importance of considering cultural, social, and economic factors in the design and implementation of technologies, particularly in low-resource environments. Through her research, Kumar aims to promote more inclusive and equitable technologies that address the needs of marginalized communities and promote social justice. Her contributions have significant implications for the development of technologies that can improve health outcomes, promote social equity, and support community development."
102,Oliver Brdiczka,"Oliver Brdiczka's research contributions span multiple areas, including Artificial Intelligence, Human-Computer Interaction, and Context-Aware Computing. His work focuses on developing methods for context modeling, anomaly detection, and user behavior analysis. Brdiczka has explored various applications, such as insider threat detection, user activity recognition, and social media analysis.

Some of his notable research areas include:

1.  Context Modeling: Brdiczka has developed methods for context modeling and reasoning, which enable systems to understand and adapt to user behavior and environment.
2.  Anomaly Detection: He has worked on anomaly detection techniques, including graph learning and psychological context, to identify potential insider threats.
3.  User Behavior Analysis: Brdiczka's research has focused on understanding user behavior, including personality prediction from email messages and social media analysis.
4.  Human-Computer Interaction: His work has explored the design of user interfaces and systems that can adapt to user behavior and context.

Brdiczka's research has been published in various papers, including ""A survey of context modelling and reasoning techniques"" and ""Proactive insider threat detection through graph learning and psychological context."" His work has been cited numerous times, indicating its impact within the field."
103,Pablo Laguna,"Pablo Laguna is a prominent researcher in the field of biomedical engineering, with a focus on bioelectrical signal processing and analysis. His research contributions span various areas, including cardiac signal processing, arrhythmia detection, and heart rate variability analysis. Laguna's work has led to the development of novel algorithms and techniques for ECG signal processing, such as wavelet-based delineation, adaptive filtering, and machine learning-based approaches. His research has also explored the application of signal processing techniques to other physiological signals, such as photoplethysmography and respiratory signals.

Laguna's notable publications demonstrate his expertise in cardiac signal processing, arrhythmia detection, and heart rate variability analysis. His work has been influential in the development of new methods for ECG analysis, including the use of machine learning algorithms and the integration of respiratory frequency information into heart rate variability analysis. His research has also explored the application of signal processing techniques to real-world problems, such as the detection of sleep apnea and the assessment of stress response. Overall, Laguna's contributions have had a significant impact on the field of biomedical engineering, and his work continues to be relevant in the development of new diagnostic and monitoring technologies."
104,Paul Pearce,"Paul Pearce's research contributions span various areas, including computer security, network measurement, and human-computer interaction. His work focuses on understanding and mitigating online threats, such as ad injection, click fraud, and malware. Pearce has developed tools and techniques for measuring and analyzing internet-scale phenomena, such as DNS manipulation and network-level censorship. He has also explored the intersection of computer security and human behavior, studying topics like online advertising, social network analysis, and threat intelligence.

Pearce's notable publications demonstrate his expertise in empirical measurement, experimental design, and graph analysis. His research has been recognized for its impact on the field, with several papers receiving high citation counts. For instance, his work on ad injection at scale and global measurement of DNS manipulation has been widely cited. Additionally, his research on click fraud, malware detection, and network security has shed light on the complexities of online threats and the need for more effective mitigation strategies. Overall, Pearce's contributions have significantly advanced our understanding of online threats and the importance of internet measurement and security."
105,Peng Chen,"Peng Chen's research contributions span a wide range of areas, including computational science, numerical analysis, and machine learning. His key research areas include adaptive sparse quadrature, adjoint-based optimization, Bayesian inference, and high-dimensional uncertainty quantification. Chen has made significant contributions to the development of efficient algorithms for solving high-dimensional problems, including dimension-adaptive sparse grid methods, reduced basis methods, and neural network-based approaches.

Notable publications by Chen include works on weighted reduced basis methods, stochastic collocation methods, and neural operator-based approaches for high-dimensional parametric problems. His research has also focused on uncertainty quantification, optimal experimental design, and model reduction techniques for partial differential equations. Chen's work has been applied to various fields, including fluid dynamics, materials science, and epidemiology. His contributions have improved the efficiency and accuracy of computational methods for solving complex problems, and have paved the way for the development of new algorithms and techniques in the field of computational science."
106,Prasad Tetali,"Prasad Tetali is a prominent researcher in the field of theoretical computer science, with a focus on combinatorics, probability, and algorithms. His research contributions span a wide range of areas, including algebraic graph theory, combinatorial optimization, computational complexity, and statistical physics. Tetali's work has had a significant impact on the development of approximation algorithms, online algorithms, and randomized algorithms.

Some of his notable research contributions include the study of mixing times in Markov chains, the analysis of Glauber dynamics, and the development of new techniques for approximating combinatorial problems, such as the set cover problem and the matching problem. Tetali has also made significant contributions to the study of random graphs, including the development of new models and algorithms for generating random graphs and the analysis of their properties. His work has been recognized with numerous awards and citations, and he has published over 100 papers in top-tier conferences and journals in the field."
107,Prof. Cédric Pradalier,"Prof. Cédric Pradalier's research contributions span various areas, including Autonomous Systems, Computer Vision, Machine Learning, and Robotics. His work focuses on developing innovative solutions for real-world applications, such as autonomous navigation, environmental monitoring, and precision farming. 

Prof. Pradalier's research has led to the development of several notable projects, including the CyCab, a car-like robot that navigates autonomously and safely among pedestrians, and the Avalon, an autonomous sailing vessel. His work also explores the use of computer vision and machine learning techniques for tasks such as object detection, scene recognition, and topological mapping. Additionally, he has investigated the use of biomimetic approaches for designing autonomous underwater vehicles and robots. His research has been published in numerous papers, including those on Bayesian occupancy filtering, visual homing, and robust trajectory tracking. Overall, Prof. Pradalier's contributions have had a significant impact on the field of robotics and autonomous systems, with applications in various industries and domains."
108,Qi Tang,"Qi Tang's research contributions span a wide range of topics in computational physics and mathematics, with a focus on developing high-order numerical methods for solving partial differential equations (PDEs) and dynamical systems. His work has significant implications for various fields, including plasma physics, magnetohydrodynamics, and computational fluid dynamics.

Some of the key areas of research that Qi Tang has contributed to include:

1. **High-order numerical methods**: Tang has developed high-order finite difference and discontinuous Galerkin methods for solving PDEs, including ideal magnetohydrodynamics, compressible Euler equations, and Grad-Shafranov equations. His methods are designed to preserve physical properties such as positivity and conservation laws.
2. **Adaptive mesh refinement**: Tang has developed adaptive mesh refinement techniques for solving PDEs on unstructured meshes, which can significantly reduce computational cost while maintaining accuracy.
3. **Machine learning and artificial intelligence**: Tang has applied machine learning and artificial intelligence techniques to solve complex problems in plasma physics and magnetohydrodynamics, including the development of physics-informed neural networks and symplectic neural networks.
4. **Computational plasma physics**: Tang has made significant contributions to computational plasma physics, including the development of high-order numerical methods for solving PDEs in plasma physics and the study of plasma instabilities and transport phenomena.

Some of his notable publications include:

* Finite difference weighted essentially non-oscillatory schemes with constrained transport for ideal magnetohydrodynamics
* Stabilized neural ordinary differential equations for long-time forecasting of dynamical systems
* High-order parametrized maximum-principle-preserving and positivity-preserving WENO schemes on unstructured meshes
* Sparse Grid Discontinuous Galerkin Methods for High-Dimensional Elliptic Equations
* Fast neural Poincaré maps for toroidal magnetic fields

Overall, Qi Tang's research has had a significant impact on the development of high-order numerical methods for solving PDEs and dynamical systems, and his work has applications in various fields, including plasma physics, magnetohydrodynamics, and computational fluid dynamics."
109,Qirun Zhang,"Qirun Zhang is a researcher with a broad range of interests in software engineering, programming languages, and formal methods. Their key research areas include API complexity, compiler optimization, and software debloating. They have made significant contributions to the development of efficient algorithms for program analysis, such as context-sensitive data-dependence analysis and alias analysis.

Notable publications by Qirun Zhang include ""Perses: syntax-guided program reduction,"" which presents a novel approach to program reduction, and ""Flow-augmented call graph: A new foundation for taming api complexity,"" which introduces a new framework for analyzing API complexity. Their work on compiler optimization, such as ""Toward understanding compiler bugs in GCC and LLVM,"" has shed light on the challenges of compiler development. Additionally, their research on software debloating, including ""Program debloating via stochastic optimization,"" has explored the tradeoffs between generality and reduction in software debloating. Overall, Qirun Zhang's research has had a significant impact on the field of software engineering, programming languages, and formal methods, and their work continues to influence the development of efficient and effective software analysis and optimization techniques."
110,Rachel Cummings,"Rachel Cummings is a researcher with a broad range of interests in Artificial Intelligence, Machine Learning, and Data Science. Her key research areas include Active Learning, Adaptive Analysis, Anomaly Detection, Anonymization, Differential Privacy, Federated Learning, Game Theory, Mechanism Design, and Online Learning. Cummings has made significant contributions to the field of privacy-preserving data analysis, developing novel techniques for differential privacy, and exploring its applications in various domains, including machine learning, game theory, and economics.

Her notable publications include works on federated learning, differential privacy, and private prediction markets. Cummings has also investigated the intersection of privacy and fairness, proposing frameworks and mechanisms for attribute privacy. Her research has been recognized for its impact on the development of privacy-preserving data analysis techniques, and she has been involved in various workshops and conferences on artificial intelligence, machine learning, and data science. Overall, Cummings' work has had a significant influence on the field of data science, particularly in the areas of privacy and fairness."
111,Rampi Ramprasad,"Rampi Ramprasad is a prominent researcher in the field of materials science and computational chemistry. His research contributions focus on the development and application of machine learning and artificial intelligence techniques to accelerate materials property predictions, design, and discovery. Key areas of interest include ab initio molecular dynamics, density functional theory, and computational thermodynamics. Ramprasad's work has led to the creation of machine learning-based atomistic force fields, which have been used to predict material properties and accelerate simulations.

Notable publications include ""Machine learning in materials informatics: recent applications and prospects,"" ""Accelerating materials property predictions using machine learning,"" and ""Machine learning force fields: construction, validation, and outlook."" These studies have demonstrated the potential of machine learning to accelerate materials discovery and design, and have highlighted the importance of data-driven approaches in materials science. Ramprasad's research has also explored the application of machine learning to specific materials systems, including polymers, dielectrics, and ferroelectric materials. His work has been recognized for its impact on the field, with numerous publications and citations highlighting the significance of his contributions."
112,Raphael Pestourie,"Raphael Pestourie is a researcher with a broad range of interests in computational physics, optics, and artificial intelligence. His key research areas include inverse design, metasurfaces, meta-optics, and machine learning. Pestourie has made significant contributions to the development of physics-informed neural networks and their application in inverse design problems, such as designing large-area metasurfaces and metalenses with extended depth of focus.

Pestourie's notable publications demonstrate his expertise in using machine learning and deep learning techniques to solve complex problems in optics and photonics. His work has focused on developing efficient and accurate methods for inverse design, including the use of multifidelity deep neural operators and physics-enhanced deep surrogates. Pestourie's research has the potential to impact various fields, including nanophotonics, computational imaging, and virtual reality. His work has been recognized through numerous publications in top-tier journals and conferences, showcasing his influence and scope within the field of computational physics and optics."
113,Richard DeMillo,"Richard DeMillo is a renowned computer scientist with a diverse range of research interests. His work spans various areas, including software engineering, computer security, artificial intelligence, and educational technology. DeMillo's research contributions can be broadly categorized into three main themes: software testing and verification, computer security, and educational reform.

In the area of software testing and verification, DeMillo has made significant contributions to the development of mutation analysis, a technique used to evaluate the effectiveness of testing methods. His work on mutation analysis has led to the creation of tools such as Mothra, a software testing environment that uses mutation analysis to test the functional correctness of programs. DeMillo has also explored the use of program slicing and backtracking for debugging and fault localization. Additionally, he has investigated the application of algebraic and combinatorial techniques to software testing and verification.

In the area of computer security, DeMillo has focused on the importance of checking cryptographic protocols for faults and the need to eliminate errors in cryptographic computations. He has also explored the use of secure multi-party computation and threshold cryptography to protect shared cryptographic keys. Furthermore, DeMillo has investigated the use of fault injection attacks and fault-based testing to evaluate the security of cryptographic protocols.

In the area of educational reform, DeMillo has written extensively on the need for change in higher education, advocating for a more accessible and affordable system. His work has explored the use of technology to support learning and the importance of measuring educational effectiveness. DeMillo has also investigated the use of blended learning and online learning to improve student outcomes.

Overall, DeMillo's research contributions have had a significant impact on the fields of software engineering, computer security, and educational technology. His work has led to the development of new testing and verification techniques, improved our understanding of computer security, and informed educational reform efforts."
114,Richard Henneman,"Richard Henneman's research contributions span a wide range of fields, including Cognitive Psychology, Human Factors, Human-Computer Interaction, and Complexity Theory. His work focuses on understanding human performance in complex systems, particularly in fault diagnosis tasks and large-scale system monitoring and control. Henneman's research aims to develop models and measures of human performance, expertise, and problem-solving abilities in dynamic environments.

Notable publications include studies on human problem-solving performance in fault diagnosis tasks, the complexity of monitoring and controlling large-scale systems, and the design of human factors cost-justification tools. His work also explores the development of user interface design guidelines for electronic commerce and the evaluation of models of human performance in large-scale systems. Henneman's research has significant implications for the design of complex systems, human-computer interaction, and usability engineering, with potential applications in fields such as computer science, software development, and organizational strategy."
115,Richard Peng,"Richard Peng is a researcher with a strong focus on algorithm design, particularly in the areas of graph algorithms, approximation algorithms, and computational complexity. His work has made significant contributions to the development of efficient algorithms for various problems, including graph sparsification, spectral graph theory, and linear system solving.

Peng's research has led to the development of nearly-linear time algorithms for solving SDD linear systems, maximum flow, and minimum-cost flow problems. He has also made important contributions to the field of graph sparsification, including the development of spectral sparsification algorithms and the design of efficient data structures for dynamic graph updates. Additionally, Peng has worked on the application of spectral graph theory to problems in machine learning and data analysis, including clustering and regression analysis. His work has been recognized through numerous publications in top-tier conferences and journals, and has had a significant impact on the field of algorithm design and computational complexity."
116,Richard Vuduc,"Richard Vuduc is a researcher with a broad range of interests in computer science, including algorithm design, algorithm evaluation, and high-performance computing. His work focuses on developing efficient algorithms and software for various applications, such as sparse matrix computations, linear algebra, and machine learning. Vuduc has made significant contributions to the field of high-performance computing, particularly in the areas of parallel computing, GPU acceleration, and autotuning.

Some of his notable research contributions include the development of the OSKI library, which provides automatically tuned sparse matrix kernels, and the Sparsity optimization framework for sparse matrix kernels. He has also worked on autotuning techniques for sparse matrix-vector multiplication on GPUs and has developed a performance analysis framework for identifying potential benefits in GPGPU applications. Additionally, Vuduc has explored the use of machine learning and statistical models for automatic performance tuning and has developed tools for collaborative filtering algorithm development and evaluation. His research has had a significant impact on the field of high-performance computing, and his work has been widely cited and recognized."
